2020-01-27 10:22:03,563 [1] INFO  PointsOfInterest.Logger.UserLogger test2@abv.bg
2020-02-19 18:17:05,586 [1] INFO  PointsOfInterest.Logger.UserLogger email: test2@abv.bg, username: dakata1
2020-02-19 18:23:36,997 [1] INFO  PointsOfInterest.Logger.UserLogger email: test2@abv.bg, username: dakata1
2020-02-19 18:27:25,881 [1] INFO  PointsOfInterest.Logger.UserLogger email: test2@abv.bg, username: dakata1
2020-02-19 18:27:55,795 [1] INFO  PointsOfInterest.Logger.UserLogger email: test2@abv.bg, username: dakata1
2020-02-19 18:41:20,718 [1] INFO  PointsOfInterest.Logger.UserLogger email: test2@abv.bg, username: dakata1
2020-02-19 18:46:24,751 [1] INFO  PointsOfInterest.Logger.UserLogger email: test2@abv.bg, username: dakata1
2020-02-19 18:48:25,451 [1] INFO  PointsOfInterest.Logger.UserLogger email: test2@abv.bg, username: dakata1
2020-02-19 19:04:16,767 [1] INFO  PointsOfInterest.Logger.UserLogger email: test2@abv.bg, username: dakata1
2020-02-19 19:13:25,487 [1] INFO  PointsOfInterest.Logger.UserLogger email: test2@abv.bg, username: dakata1
2020-02-19 19:39:04,515 [1] INFO  PointsOfInterest.Logger.UserLogger email: test2@abv.bg, username: dakata1
2020-02-19 19:40:03,875 [1] INFO  PointsOfInterest.Logger.UserLogger email: test2@abv.bg, username: dakata1
2020-02-19 21:10:39,196 [1] INFO  PointsOfInterest.Logger.UserLogger email: test2@abv.bg, username: dakata1
2020-02-19 21:12:54,026 [1] INFO  PointsOfInterest.Logger.UserLogger email: test2@abv.bg, username: dakata1
2020-02-19 21:14:23,113 [1] INFO  PointsOfInterest.Logger.UserLogger email: test2@abv.bg, username: dakata1
2020-02-20 10:46:04,109 [1] INFO  PointsOfInterest.Logger.UserLogger email: test2@abv.bg, username: dakata1
2020-02-20 10:46:35,532 [1] INFO  PointsOfInterest.Logger.UserLogger email: test2@abv.bg, username: dakata1
2020-02-20 10:52:04,007 [1] INFO  PointsOfInterest.Logger.UserLogger email: test2@abv.bg, username: dakata1
2020-02-20 10:55:10,700 [1] INFO  PointsOfInterest.Logger.UserLogger email: test5@abv.bg, username: Dasdsasda
2020-02-21 12:01:28,822 [1] INFO  PointsOfInterest.Logger.UserLogger email: test2@abv.bg, username: dakata1
2020-02-21 12:19:16,604 [1] INFO  PointsOfInterest.Logger.UserLogger email: test2@abv.bg, username: dakata1
2020-02-21 12:23:54,017 [1] INFO  PointsOfInterest.Logger.UserLogger email: test2@abv.bg, username: dakata1
2020-02-21 12:26:18,212 [1] INFO  PointsOfInterest.Logger.UserLogger email: test2@abv.bg, username: dakata1
2020-02-21 12:27:20,008 [1] INFO  PointsOfInterest.Logger.UserLogger email: test2@abv.bg, username: dakata1
2020-02-21 12:28:25,861 [1] INFO  PointsOfInterest.Logger.UserLogger email: test2@abv.bg, username: dakata1
2020-02-21 12:29:05,243 [1] INFO  PointsOfInterest.Logger.UserLogger email: test2@abv.bg, username: dakata1
2020-02-21 12:30:04,621 [1] INFO  PointsOfInterest.Logger.UserLogger email: test2@abv.bg, username: dakata1
2020-02-21 12:30:26,194 [1] INFO  PointsOfInterest.Logger.UserLogger email: test2@abv.bg, username: dakata1
2020-02-21 12:46:03,103 [1] INFO  PointsOfInterest.Logger.UserLogger email: test2@abv.bg, username: dakata1
2020-02-21 12:48:32,863 [1] INFO  PointsOfInterest.Logger.UserLogger email: test2@abv.bg, username: dakata1
2020-02-21 12:52:06,635 [1] INFO  PointsOfInterest.Logger.UserLogger email: test2@abv.bg, username: dakata1
2020-02-21 12:53:33,228 [1] INFO  PointsOfInterest.Logger.UserLogger email: test2@abv.bg, username: dakata1
2020-02-21 12:55:38,386 [1] INFO  PointsOfInterest.Logger.UserLogger email: test2@abv.bg, username: dakata1
2020-02-21 12:59:07,137 [1] INFO  PointsOfInterest.Logger.UserLogger email: test2@abv.bg, username: dakata1
2020-02-21 13:02:36,231 [1] INFO  PointsOfInterest.Logger.UserLogger email: test2@abv.bg, username: dakata1
2020-02-21 13:06:05,661 [1] INFO  PointsOfInterest.Logger.UserLogger email: test2@abv.bg, username: dakata1
2020-02-21 13:11:22,798 [1] INFO  PointsOfInterest.Logger.UserLogger email: test2@abv.bg, username: dakata1
2020-02-21 13:16:53,011 [1] INFO  PointsOfInterest.Logger.UserLogger email: test2@abv.bg, username: dakata1
2020-02-21 13:18:31,799 [1] INFO  PointsOfInterest.Logger.UserLogger email: test2@abv.bg, username: dakata1
2020-02-21 13:22:08,519 [1] INFO  PointsOfInterest.Logger.UserLogger email: test2@abv.bg, username: dakata1
2020-02-21 13:22:47,139 [1] INFO  PointsOfInterest.Logger.UserLogger email: test2@abv.bg, username: dakata1
2020-02-21 13:28:43,261 [1] INFO  PointsOfInterest.Logger.UserLogger email: test2@abv.bg, username: dakata1
2020-02-21 13:30:15,436 [1] INFO  PointsOfInterest.Logger.UserLogger email: test2@abv.bg, username: dakata1
2020-02-21 13:30:51,288 [1] INFO  PointsOfInterest.Logger.UserLogger email: test2@abv.bg, username: dakata1
2020-02-21 13:42:55,787 [1] INFO  PointsOfInterest.Logger.UserLogger email: test2@abv.bg, username: dakata1
2020-02-21 13:44:00,911 [1] INFO  PointsOfInterest.Logger.UserLogger email: test2@abv.bg, username: dakata1
2020-02-21 13:46:15,743 [1] INFO  PointsOfInterest.Logger.UserLogger email: test2@abv.bg, username: dakata1
2020-02-21 13:48:56,724 [1] INFO  PointsOfInterest.Logger.UserLogger email: test2@abv.bg, username: dakata1
2020-02-21 13:53:01,098 [1] INFO  PointsOfInterest.Logger.UserLogger email: test2@abv.bg, username: dakata1
2020-02-21 13:54:42,596 [1] INFO  PointsOfInterest.Logger.UserLogger email: test2@abv.bg, username: dakata1
2020-02-21 13:58:42,266 [1] INFO  PointsOfInterest.Logger.UserLogger email: test2@abv.bg, username: dakata1
2020-02-21 14:02:18,329 [1] INFO  PointsOfInterest.Logger.UserLogger email: test2@abv.bg, username: dakata1
2020-02-21 14:06:20,706 [1] INFO  PointsOfInterest.Logger.UserLogger email: test2@abv.bg, username: dakata1
2020-02-21 14:08:37,230 [1] INFO  PointsOfInterest.Logger.UserLogger email: test2@abv.bg, username: dakata1
2020-02-21 14:10:04,172 [1] INFO  PointsOfInterest.Logger.UserLogger email: test2@abv.bg, username: dakata1
2020-02-21 14:16:13,775 [1] INFO  PointsOfInterest.Logger.UserLogger email: test11@abv.bg, username: Ahhhh
